Conference,Division,Name,SeasonType,Team
1,3,10,0,0
1,3,8,0,1
0,0,4,0,2
0,0,26,0,3
0,2,14,0,4
0,2,2,0,5
1,3,11,0,6
1,1,1,0,7
1,1,0,0,8
1,1,29,0,9
0,0,25,0,10
1,3,20,0,11
0,0,21,0,12
1,3,17,0,13
1,1,30,0,14
0,0,5,0,15
0,2,9,0,16
1,1,23,0,17
0,2,15,0,18
0,2,24,0,19
0,0,27,0,20
0,2,12,0,21
0,2,22,0,22
1,3,28,0,23
1,1,3,0,24
0,0,18,0,25
0,0,19,0,26
1,3,6,0,27
1,3,13,0,28
1,1,16,0,29
0,2,7,0,30
1,3,10,0,0
1,3,8,0,1
0,0,4,0,2
0,0,26,0,3
0,2,14,0,4
0,2,2,0,5
1,3,11,0,6
1,1,1,0,7
1,1,0,0,8
1,1,29,0,9
0,0,25,0,10
1,3,20,0,11
0,0,21,0,12
1,3,17,0,13
1,1,30,0,14
0,0,5,0,15
0,2,9,0,16
1,1,23,0,17
0,2,15,0,18
0,2,24,0,19
0,0,27,0,20
0,2,12,0,21
0,2,22,0,22
1,3,28,0,23
1,1,3,0,24
0,0,18,0,25
0,0,19,0,26
1,3,6,0,27
1,3,13,0,28
1,1,16,0,29
0,2,7,0,30
1,3,10,0,0
1,3,8,0,1
0,0,4,0,2
0,0,26,0,3
0,2,14,0,4
0,2,2,0,5
1,3,11,0,6
1,1,1,0,7
1,1,0,0,8
1,1,29,0,9
0,0,25,0,10
1,3,20,0,11
0,0,21,0,12
1,3,17,0,13
1,1,30,0,14
0,0,5,0,15
0,2,9,0,16
1,1,23,0,17
0,2,15,0,18
0,2,24,0,19
0,0,27,0,20
0,2,12,0,21
0,2,22,0,22
1,3,28,0,23
1,1,3,0,24
0,0,18,0,25
0,0,19,0,26
1,3,6,0,27
1,3,13,0,28
1,1,16,0,29
0,2,7,0,30
1,3,10,0,0
1,3,8,0,1
0,0,4,0,2
0,0,26,0,3
0,2,14,0,4
0,2,2,0,5
1,3,11,0,6
1,1,1,0,7
1,1,0,0,8
1,1,29,0,9
0,0,25,0,10
1,3,20,0,11
0,0,21,0,12
1,3,17,0,13
1,1,30,0,14
0,0,5,0,15
0,2,9,0,16
1,1,23,0,17
0,2,15,0,18
0,2,24,0,19
0,0,27,0,20
0,2,12,0,21
0,2,22,0,22
1,3,28,0,23
1,1,3,0,24
0,0,18,0,25
0,0,19,0,26
1,3,6,0,27
1,3,13,0,28
1,1,16,0,29
0,2,7,0,30
